Treatment,Rep,Time,Location,mean,se
BioAgri,1,Spring 2015,TN,7.966696475,0.405419749
Naturecycle,1,Spring 2015,TN,7.722920448,0.359765192
No Mulch,1,Spring 2015,TN,7.634116188,0.130894832
Organix,1,Spring 2015,TN,7.409112752,0.28105398
PLA/PHA,1,Spring 2015,TN,8.199509952,0.889954076
Polyethylene,1,Spring 2015,TN,7.679149935,0.525460214
Weedguard,1,Spring 2015,TN,8.011775078,0.233523335
BioAgri,1,Spring 2015,WA,8.244222819,0.214236165
Naturecycle,1,Spring 2015,WA,7.937992715,0.107589718
No Mulch,1,Spring 2015,WA,8.401839878,0.549713721
Organix,1,Spring 2015,WA,8.153279459,0.114236474
PLA/PHA,1,Spring 2015,WA,8.344893777,0.165738321
Polyethylene,1,Spring 2015,WA,8.39134327,0.457255717
Weedguard,1,Spring 2015,WA,8.09759503,0.381071597
BioAgri,1,Fall 2015,TN,7.918474212,0.258535439
Naturecycle,1,Fall 2015,TN,8.031243821,0.405994297
No Mulch,1,Fall 2015,TN,7.791555039,0.248332451
Organix,1,Fall 2015,TN,7.684538661,0.231816347
PLA/PHA,1,Fall 2015,TN,8.255238274,0.444144495
Polyethylene,1,Fall 2015,TN,7.599338244,0.610263982
Weedguard,1,Fall 2015,TN,8.198965176,0.114490224
BioAgri,1,Fall 2015,WA,9.094535218,0.369199358
Naturecycle,1,Fall 2015,WA,9.03118958,0.281379533
No Mulch,1,Fall 2015,WA,9.926068748,0.796498439
Organix,1,Fall 2015,WA,8.804150217,0.143421335
PLA/PHA,1,Fall 2015,WA,8.053321835,0.084798497
Polyethylene,1,Fall 2015,WA,8.82456011,0.216518818
Weedguard,1,Fall 2015,WA,8.430342758,0.31807434
BioAgri,1,Spring 2016,TN,8.195258632,0.219682921
Naturecycle,1,Spring 2016,TN,8.21574858,0.379185605
No Mulch,1,Spring 2016,TN,7.713263565,0.219777295
Organix,1,Spring 2016,TN,7.875352062,0.410701355
PLA/PHA,1,Spring 2016,TN,8.340719296,0.173459171
Polyethylene,1,Spring 2016,TN,7.3329981,0.381120062
Weedguard,1,Spring 2016,TN,8.579105784,0.205677118
BioAgri,1,Spring 2016,WA,8.253510957,0.304595425
Naturecycle,1,Spring 2016,WA,8.027317217,0.117526859
No Mulch,1,Spring 2016,WA,8.301934651,0.25503615
Organix,1,Spring 2016,WA,8.028251577,0.143345159
PLA/PHA,1,Spring 2016,WA,8.196424782,0.214921559
Polyethylene,1,Spring 2016,WA,8.393530659,0.169013423
Weedguard,1,Spring 2016,WA,8.009614361,0.227002528
BioAgri,1,Fall 2016,TN,10.17651542,0.462747798
Naturecycle,1,Fall 2016,TN,10.52792323,0.302278063
No Mulch,1,Fall 2016,TN,9.966512796,0.311929
Organix,1,Fall 2016,TN,9.233895507,0.270113023
PLA/PHA,1,Fall 2016,TN,10.31864236,0.77039434
Polyethylene,1,Fall 2016,TN,8.776928698,0.436041803
Weedguard,1,Fall 2016,TN,11.00015819,0.960582995
BioAgri,1,Fall 2016,WA,10.32262906,0.396726499
Naturecycle,1,Fall 2016,WA,9.525362544,0.61534143
No Mulch,1,Fall 2016,WA,10.1198418,0.381563261
Organix,1,Fall 2016,WA,9.478526723,0.867034738
PLA/PHA,1,Fall 2016,WA,10.31452571,0.759808156
Polyethylene,1,Fall 2016,WA,10.65213284,0.67661177
Weedguard,1,Fall 2016,WA,11.44517129,0.821779494
