Group,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,pH,TotN,GSM,OM,ResC,satH,satCa,satMg,satK,satNa
BDM09160001BF,101,Weedguard,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6,41,12.15277778,1.5,13.16544047,67,25,4,3,1
BDM09160002BF,102,BioAgri,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.5,66,9.73871734,1.3,11.76406287,54,36,5,4,1
BDM09160003BF,103,PLA/PHA,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.85,35,8.8,1.5,3.830969423,62,30,5,2,1
BDM09160004BF,105,Naturecycle,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.75,58,11.26436782,1.6,4.478736497,52,37,6,4,1
BDM09160005BF,106,No Mulch,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.05,43,12.95843521,1.7,10.45869367,36,51,7,5,1
BDM09160006BF,107,Organix,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.1,29,10.77348066,1.5,7.504353114,48,41,6,4,1
BDM09160007BF,108,Polyethylene,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.25,18,6.796116505,1.6,3.419081186,43,46,5,5,1
BDM09160008BF,201,PLA/PHA,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.65,30,9.635416667,1.7,10.68624742,49,39,7,4,1
BDM09160009BF,202,No Mulch,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.05,21,11.45038168,1.4,7.863050937,28,56,11,4,1
BDM09160010BF,203,Weedguard,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.75,25,11.95402299,1.4,8.440390176,34,51,9,5,1
BDM09160011BF,204,BioAgri,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.55,38,11.35802469,1.4,6.877378118,65,27,5,2,1
BDM09160012BF,205,Organix,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.75,29,11.87335092,1.4,6.337790958,57,34,5,3,1
BDM09160013BF,206,Naturecycle,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.85,22,12.41534989,1.5,6.538843307,36,53,7,4,0
BDM09160014BF,207,Polyethylene,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.15,11,6.352941176,1.3,1.881158089,43,48,6,3,0
BDM09160015BF,301,Naturecycle,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.45,33,11.98979592,1.6,7.105386058,53,36,8,2,1
BDM09160016BF,302,Weedguard,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.5,20,14.03940887,1.4,5.766718983,39,46,11,3,1
BDM09160017BF,304,Polyethylene,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.3,26,4.608294931,1.3,1.992949429,40,47,9,3,1
BDM09160018BF,305,BioAgri,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.6,41,12.44131455,1.4,5.694544872,25,60,10,4,1
BDM09160019BF,306,PLA/PHA,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6,22,11.5942029,1.3,6.910266688,14,68,12,5,1
BDM09160020BF,307,No Mulch,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.2,13,10.99744246,1.2,9.214743534,39,49,7,4,1
BDM09160021BF,308,Organix,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.85,22,11.81102362,1.5,7.294172905,50,39,5,5,1
